"produto","numero_nf","quantidade","total"
"FANTASY STAR",224960,5.0,445.0
"C# PRATICO",128070,4.0,240.0
"JUST DANCE",30710,3.0,297.0
"XTG SOUND",161920,2.0,640.0
"C# PRATICO",91460,4.0,240.0
"TV LED 50 SONY",244520,3.0,9600.0
"DRAGON BLAZER",239990,3.0,270.0
"RIO DE JANEIRO / RECIFE",215610,4.0,2240.0
"CAVALEIRO DAS TREVAS",209390,1.0,110.0
"FANTASY STAR",123460,4.0,356.0
"MOTO G5",58040,3.0,2037.0
"MICROONDAS BRASTEMP",168690,4.0,2400.0
"TV LED 60 SAMSUNG",11910,3.0,11400.0
"LEITOR DE CARTOES MULTILASER",21170,5.0,120.0
"FANTASY STAR",9780,2.0,178.0
"NOKIA ASHA 501",181880,4.0,2400.0
"FABULA",253660,5.0,600.0
"NOTEBOOK SONY 3D",80150,1.0,2500.0
"SONY I5",170070,3.0,5400.0
"PENDRIVE 64 ML",217140,2.0,170.0
"DESKTOP P5 PH",6810,4.0,5600.0
"ROTEADOR WIRELESS",7360,4.0,360.0
"ADVANCED AZURE",222640,4.0,280.0
"TV LED 60 SONY",171380,2.0,7800.0
"PLAYSTATION 4",98240,2.0,3960.0
"JUICER ARNO",175190,4.0,1800.0
"TV LED 42 SONY",174300,3.0,6000.0
"DESKTOP A5 HP",1440,4.0,5200.0
"LEITOR DE CARTOES MULTILASER",253160,3.0,72.0
"NOTEBOOK ACER 15",55170,4.0,6000.0
"JUST DANCE",102740,1.0,99.0
"TITANS",245500,5.0,490.0
"LIQUIDIFICADOR WALLITA",13140,1.0,90.0
"RIO DE JANEIRO / NEW YORK",205710,1.0,2600.0
"NOTEBOOK LN 15",163290,5.0,7500.0
"ROTEADOR WIRELESS",163510,1.0,90.0
"HOME THEATER PANASONIC",228620,2.0,490.0
"PHONE 5",158580,3.0,7500.0
"CARREGADOR TURBO CELULAR",67290,3.0,297.0
"SMART TV PANASONIC 46",178580,4.0,12396.0
"MOCHILA NOTEBOOK 14 POL",173850,2.0,178.0
"NOTEBOOK LN 15",89240,3.0,4500.0
"CARTOON MOVIE",172730,2.0,198.0
"DREAMC QUARTY",240110,1.0,180.0
"PENDRIVE 128 CROSSAIR",158450,1.0,137.0
"ROTEADOR WIRELESS",116860,2.0,180.0
"DESKTOP P5 ML",196860,3.0,4200.0
"RACK TV MOGNO",205790,3.0,4500.0
"LAVA LOUCAS CCE",253700,2.0,7200.0
"FAMILIA PARATTO",137150,3.0,402.0
"PLAYSTATION 3",22980,3.0,2940.0
"HD 2T SAMSUNG",104290,2.0,1100.0
"LAVA LOUCAS BRASTEMP",77930,2.0,7000.0
"NOKIA QUARTY",202740,1.0,300.0
"O SENHOR DO CRIME",16770,4.0,796.0
"SAMSUNG XY 3",148200,1.0,800.0
"MOTO Z PLAY 3",249010,2.0,2300.0
"DESKTOP A5 HP",144350,2.0,2600.0
"RIO DE JANEIRO / MADRID",147940,1.0,1800.0
"CARTAO SD 128 GB SANDISK",5090,1.0,156.0
"SMART TV PANASONIC 52",232060,2.0,8400.0
"PLAYSTATION 3",101940,1.0,980.0
"SAO PAULO / LONDRINA",19950,3.0,930.0
"PENDRIVE 64",251490,1.0,80.0
"JUICER CCE",248360,1.0,430.0
"MOCHILA NOTEBOOK 17 POL",24100,2.0,278.0
"MICROONDAS BRASTEMP",124040,4.0,2400.0
"FANTASY STAR",81540,2.0,178.0
"LAVADORA GANCA 10L",55800,3.0,16200.0
"IPAD 64",164710,2.0,5000.0
"CARTAO SD 128 GB SANDISK",147810,3.0,468.0
"TV 3D PHILIPS 42",31280,3.0,11400.0
"RIO DE JANEIRO / CAMPINAS",57150,2.0,500.0
"GRAVITACIONAL",82340,3.0,234.0
"AS CRÔNICAS DE ANDROMEDA",128330,1.0,69.0
"LIQUIDIFICADOR ARNO",202490,2.0,174.0
"NOTEBOOK HP INOVE",143760,3.0,9900.0
"CONJUNTO DE SOFA",19700,3.0,10500.0
"DESKTOP A5 HP",226520,2.0,2600.0
"CARTAO SD 32 GB SANDISK",100910,1.0,32.0
"NOKIA 549",40760,2.0,900.0
"MEMORIA DDR 3 32GB",79670,4.0,1400.0
"NOTEBOOK HP C-34",54750,1.0,2300.0
"JOGOS VORAZES",253180,4.0,180.0
"GLADIADORES",171880,4.0,580.0
"SAO PAULO / BUENOS AIRES",51610,4.0,4360.0
"LAVA LOUCAS BRASTEMP",31580,2.0,7000.0
"MEMORIA DDR 3 4GB",81520,1.0,80.0
"RIO DE JANEIRO / LONDRINA",107460,5.0,2150.0
"GALAXY NOTE",249360,2.0,5800.0
"DESKTOP P5 ML",112950,4.0,5600.0
"CENTRIFUGA ARNO",47560,2.0,5600.0
"SAO PAULO / MADRID",163920,3.0,8100.0
"A CULPA É DAS ESTRELAS",34930,2.0,48.0
"O SUPER-HERÓI",254330,4.0,180.0
"DESKTOP A5 HP",27550,3.0,3900.0
"HD 3T",201040,2.0,1520.0
"MAFIA",229260,2.0,240.0
"TV LED 32 LG",191530,2.0,2200.0
"JUICER WALLITA",53960,3.0,1350.0
"UM CASO PERDIDO",5420,4.0,224.0
"TV LED 32 SONY",6930,3.0,3000.0
"FREEZER 300L BRASTEMP",238110,3.0,5400.0
"PENDRIVE 128 CROSSAIR",136050,4.0,548.0
"MESA DE CENTRO",185930,4.0,2000.0
"NOTEBOOK MSFT 17",83890,4.0,12400.0
"IPOD NANO 32",126640,5.0,2250.0
"CARREGADOR TURBO CELULAR",233410,2.0,198.0
"SAO PAULO / CURITIBA",185710,4.0,1200.0
"JACKSON",240960,4.0,136.0
"TV LED 60 SONY",196200,1.0,3900.0
"LEITOR DE CARTOES",83070,2.0,68.0
"XTG RAD D1",187090,3.0,2400.0
"SONY I7",100580,5.0,12500.0
"NOKIA ASHA 501",24400,4.0,2400.0
"MESA JANTAR 6 LUGARES",32970,1.0,2500.0
"IPAD 64",91340,4.0,10000.0
"TV LED 42 SONY",111000,5.0,10000.0
"HD 2T",21530,3.0,1950.0
"CASOAS ANTIGOS",65950,3.0,111.0
"IPAD MINI 16",14120,2.0,2400.0
"FABULA",104240,2.0,240.0
"DESKTOP A5 ML",134770,4.0,5200.0
"GALAXY TAB 10",20740,5.0,11500.0
"PLAYSTATION 4",167160,2.0,3960.0
"SMART TV PANASONIC 46",105240,2.0,6198.0
"COMBO TECLADO E MOUSE",117990,3.0,930.0
"HD 3T SAMSUNG",93440,4.0,2800.0
"COMBO TECLADO E MOUSE",71000,3.0,930.0
"SMART TV PHILIPS 46",78000,1.0,3199.0
"JOGOS MALÉFICOS",238660,4.0,152.0
"MENTES CRIMINOSAS",89170,2.0,420.0
"RIO DE JANEIRO / NEW YORK",177630,4.0,10400.0
"FREEZER 300L BRASTEMP",227710,2.0,3600.0
"MP4 32 GB SONY",73300,4.0,960.0
"PENDRIVE 16",157060,3.0,90.0
"TV 3D SONY 42",75270,4.0,12400.0
"PC DUAL CORE",218270,4.0,5400.0
"DESKTOP A5 HP",63330,1.0,1300.0
"ROTEADOR 18 PORTAS",158250,2.0,600.0
"SAMSUNG XY 4",146800,5.0,6000.0
"RIO DE JANEIRO / LONDRINA",218090,3.0,1290.0
"TV LED 50 LG",64650,4.0,12400.0
"MICROONDAS BRASTEMP",212920,5.0,3000.0
"SAMSUNG E1203",228600,2.0,1120.0
"NOTEBOOK SONY AWS",220780,1.0,2750.0
"HUB SWITCH 6 PORTAS",243880,3.0,237.0
"SOUTH PLACE",101970,1.0,98.0
"DESKTOP 17",150470,3.0,6900.0
"HD 2T",61870,3.0,1950.0
"TV LED 42 CCE",212670,2.0,3200.0
"CARTAO SD 32 GB SANDISK",163100,4.0,128.0
"DEVILCRY",52100,5.0,600.0
"MAFIA",176270,2.0,240.0
"LAVA LOUCAS CCE",53880,2.0,7200.0
"SMART TV SAMSUNG 52",249400,4.0,17200.0
"TITANS",160530,3.0,294.0
"MOCHILA NOTEBOOK 14 POL",201330,4.0,356.0
"LAVADORA GANCA 10L",152160,2.0,10800.0
"MOCHILA NOTEBOOK 15.6 POL",130250,3.0,327.0
"GLADIADORES",241390,5.0,725.0
"CARTAO SD 64 GB SAMSUNG",77150,4.0,312.0
"DIABO",144090,2.0,198.0
"SAO PAULO / LONDRINA",155950,4.0,1240.0
"DESKTOP 17",200330,2.0,4600.0
"A CULPA É DAS ESTRELAS",210910,2.0,48.0
"HD 2T",20840,4.0,2600.0
"LAVADORA LG 10L",150530,4.0,11200.0
"HUB SWITCH 6 PORTAS",229340,4.0,316.0
"XTG RAD D3",149690,4.0,2800.0
"CHAPA A GAS GANCA",195680,4.0,7200.0
"PENDRIVE 256",93030,4.0,960.0
"FREEZER 300L BRASTEMP",129260,4.0,7200.0
"O PEQUENO",83890,5.0,215.0
"NOTEBOOK MSFT TOUCH",139070,2.0,7000.0
"RIO DE JANEIRO / NEW YORK",190200,3.0,7800.0
"REVELADOS",49380,1.0,48.0
"XTG E1",184120,4.0,1200.0
"DIÁRIO ROMÂNTICO",251940,3.0,528.0
"DESKTOP P5 HP",192050,1.0,1400.0
"TITANS",36810,3.0,294.0
"SAO PAULO / MIAMI",217250,2.0,4600.0
"RIO DE JANEIRO / LONDRINA",230900,2.0,860.0
"CAMA SOLTEIRO",4240,2.0,1200.0
"SQL SERVER 2016",211520,5.0,150.0
"COMBO TECLADO E MOUSE",171780,4.0,1240.0
"SAMSUNG DUOS",141730,2.0,2200.0
"NOTEBOOK LN 15",72730,1.0,1500.0
"JUST DANCE",69350,3.0,297.0
"SAO PAULO / ROMA",25540,5.0,14000.0
"RIO DE JANEIRO / LIMA",227560,4.0,7600.0
"GALAXY NOTE",223350,4.0,11600.0
"A VIDA SECRETA",200080,3.0,111.0
"HD 2T SAMSUNG",7040,2.0,1100.0
"TV LED 50 SONY",150260,4.0,12800.0
"DIABO",82900,2.0,198.0
"NOTEBOOK ACER 15",142970,3.0,4500.0
"SONY W500",227750,1.0,1200.0
"RACK TV MOGNO",73990,3.0,4500.0
"CAMA CASAL",152040,2.0,2000.0
"MOUSE OPTICO",220070,4.0,356.0
"FAMILIA PARATTO",54700,1.0,134.0
"TV LED 50 SAMSUNG",228130,4.0,13200.0
"MESA DE CENTRO",133210,1.0,500.0
"CASTELVANIA",202440,3.0,360.0
"NOKIA 549",171440,4.0,1800.0
"LAVA LOUCAS BRASTEMP",17230,2.0,7000.0
"MOCHILA NOTEBOOK 14 POL",178190,5.0,445.0
"DIÁRIO ROMÂNTICO",186520,3.0,528.0
"O SUPER-HERÓI",249460,2.0,90.0
"PHONE 4",50560,2.0,3800.0
"SAO PAULO / LIMA",39650,2.0,3800.0
"RIO DE JANEIRO / RECIFE",77730,1.0,560.0
"NOTEBOOK HP C-34",153450,2.0,4600.0
"DREAMC QUARTY",54480,2.0,360.0
"CARTAO SD 64 GB SAMSUNG",210940,3.0,234.0
"TABLET 7 LENOVO",231170,4.0,2400.0
"IPAD 64",102550,5.0,12500.0
"SONY I5",190400,4.0,7200.0
"SAO PAULO / RECIFE",131230,2.0,720.0
"DREAMC QUARTY",92330,5.0,900.0
"GRILL GEROGE FOREMAN",40740,1.0,250.0
"SAO PAULO / BELO HORIZONTE",147950,4.0,1000.0
"CADEIRA DE FERRO",248630,3.0,900.0
"MESA DE CENTRO",253510,2.0,1000.0
"IPAD 64",137760,1.0,2500.0
"SAMSUNG XY 4",117320,4.0,4800.0
"DESKTOP A5 ML",217730,4.0,5200.0
"NOTEBOOK HP ONE",84160,2.0,3740.0
"C# PRATICO",132180,1.0,60.0
"TSQL TUNING",214880,4.0,360.0
"REVELADOS",108080,4.0,192.0
"DRAGON BLAZER",168280,4.0,360.0
"GALAXY NOTE",199940,4.0,11600.0
"SAO PAULO / CURITIBA",131090,2.0,600.0
"NOKIA ASHA 501",86130,5.0,3000.0
"SAO PAULO / MIAMI",185480,2.0,4600.0
"MOTO Z PLAY 3",67830,1.0,1150.0
"HD 2T",129770,3.0,1950.0
"DESKTOP P5 ML",205950,5.0,7000.0
"FAMILIA PARATTO",39610,3.0,402.0
"COMBO TECLADO E MOUSE",34170,1.0,310.0
"LIQUIDIFICADOR WALLITA",41270,4.0,360.0
"MOUSE OPTICO",179150,1.0,59.0
"TABLET 7 LENOVO",66280,2.0,1200.0
"PLACA DE SOM",80970,2.0,580.0
"AS CRÔNICAS DE ANDROMEDA",157260,2.0,138.0
"RIO DE JANEIRO / LIMA",153910,3.0,5700.0
"ARMARIO COZINHA 6 PORTAS",81410,4.0,10000.0
"SMART TV PHILIPS 46",2000,2.0,6398.0
"PC DUAL CORE",1700,4.0,5400.0
"MOCHILA NOTEBOOK 17 POL",181230,2.0,278.0
"NOTEBOOK MSFT TOUCH",81230,5.0,17500.0
"DIABO",234490,2.0,198.0
"PLAYSTATION 3",114520,4.0,3920.0
"O SENHOR DO CRIME",175700,2.0,398.0
"RIO DE JANEIRO / CURITIBA",245850,5.0,2250.0
"VINGANÇA",49240,5.0,225.0
"HD 2T",219080,2.0,1300.0
"DESKTOP I3",129080,2.0,3600.0
"CARTAO SD 64 GB SAMSUNG",214190,4.0,312.0
"ESCOLINHA DO JUCA",10320,1.0,56.0
"PLACA DE SOM",218490,5.0,1450.0
"CARTAO SD 64 GB SAMSUNG",168570,4.0,312.0
"TV LED 50 SAMSUNG",171170,5.0,16500.0
"PENDRIVE 64",3380,4.0,320.0
"LOAD RUNNER",9100,3.0,435.0
"PLAYSTATION 4",237210,4.0,7920.0
"CONJUNTO DE SOFA",7040,2.0,7000.0
"LAVADORA LG 10L",78820,2.0,5600.0
"O IMORTAL",242670,4.0,148.0
"TECLADO WIRELESS MULTILASER",190440,5.0,600.0
"CRONICAS ANTIGAS",23970,2.0,378.0
"MAFIA",46060,3.0,360.0
"JUST DANCE",236900,4.0,396.0
"JUST DANCE",31640,5.0,495.0
"SAO PAULO / GOIANIA",122810,4.0,1600.0
"DESKTOP P5 ML",108160,5.0,7000.0
"SAO PAULO / CURITIBA",167310,2.0,600.0
"RIO DE JANEIRO / CURITIBA",133920,4.0,1800.0
"SMART TV PHILIPS 46",121910,5.0,15995.0
"MESA JANTAR 6 LUGARES",220900,1.0,2500.0
"RIO DE JANEIRO / MADRID",132780,5.0,9000.0
"GALAXY NOTE",225030,1.0,2900.0
"SAMSUNG XY 3",183030,5.0,4000.0
"SAO PAULO / LIMA",143330,1.0,1900.0
"A VIDA SECRETA",20270,2.0,74.0
"LOAD RUNNER",71340,1.0,145.0
"ARMARIO COZINHA 6 PORTAS",128690,3.0,7500.0
"PLACA DE SOM",101990,2.0,580.0
"PENDRIVE 128 CROSSAIR",232540,1.0,137.0
"SAO PAULO / BUENOS AIRES",46310,1.0,1090.0
"GRAVITACIONAL",202030,1.0,78.0
"XTG RAD D1",6300,5.0,4000.0
"NOTEBOOK SONY AWS",116510,2.0,5500.0
"NOTEBOOK ACER 17",126360,3.0,6300.0
"SAO PAULO / SALVADOR",158690,2.0,900.0
"TV LED 60 SONY",52730,2.0,7800.0
"RAIDER",199710,2.0,240.0
"SAO PAULO / LIMA",198370,2.0,3800.0
"MESA DE CENTRO",180460,2.0,1000.0
"BATEDEIRA BRASTEMP",61510,3.0,360.0
"NOTEBOOK HP C-34",196130,5.0,11500.0
"SONY I5",171080,2.0,3600.0
"DESKTOP P5 PH",133440,3.0,4200.0
"TV LED 50 SONY",213370,3.0,9600.0
"DREAMC VGA",96610,4.0,600.0
"FREEZER 300L BRASTEMP",32020,2.0,3600.0
"HD 2T SAMSUNG",27180,3.0,1650.0
"SAMSUNG E1203",115680,2.0,1120.0
"A CASA",33220,3.0,897.0
"LG OPTIMUS",221600,3.0,2670.0
"SMART TV PANASONIC 52",90290,4.0,16800.0
"CAMA CASAL",60140,3.0,3000.0
"CAVALEIRO DOS 7 REINOS",134580,3.0,90.0
"HUB SWITCH 6 PORTAS",99290,5.0,395.0
"TV LED 42 CCE",97170,4.0,6400.0
"SAO PAULO / BUENOS AIRES",187940,4.0,4360.0
"MESA 4 LUGARES",107270,3.0,3000.0
"NOTEBOOK SONY 3D",63880,1.0,2500.0
"SAO PAULO / ROMA",23810,5.0,14000.0
"ADAPTADOR WIRELESS",195820,2.0,178.0
"C# PRATICO",120100,3.0,180.0
"SMART TV PANASONIC 32",236690,2.0,2198.0
"MICROONDAS BRASTEMP",185780,1.0,600.0
"PENDRIVE 256",10620,2.0,480.0
"FUTEBOL 2018",202380,1.0,145.0
"IPAD 64",63640,2.0,5000.0
"RIO DE JANEIRO / NEW YORK",52410,3.0,7800.0
"CARREGADOR UNIVERSAL NOKIA",70520,4.0,400.0
"CAMA SOLTEIRO",239490,4.0,2400.0
"MOUSE OPTICO",25300,5.0,445.0
"CAMA CASAL",69540,3.0,3000.0
"A VIDA SECRETA",244940,2.0,74.0
"SAO PAULO / RIO DE JANEIRO",209050,1.0,230.0
"XTG SOUND",230200,3.0,960.0
"LEITOR DE CARTOES MULTILASER",203380,2.0,48.0
"TV PLASMA PHILIPS 42",135030,3.0,3600.0
"ESCOLINHA DO JUCA",91150,3.0,168.0
"DESKTOP I3",173970,3.0,5400.0
"PENDRIVE 128 CROSSAIR",246970,3.0,411.0
"DEVILCRY",241380,3.0,360.0
"TITANS",203790,2.0,196.0
"MICROONDAS BRASTEMP",15830,1.0,600.0
"TSQL TUNING",240970,1.0,90.0
"CRONICAS ANTIGAS",239640,1.0,189.0
"TV PLASMA PHILIPS 42",16200,4.0,4800.0
"LEITOR DE CARTOES MULTILASER",222880,5.0,120.0
"DREAMC VGA",144150,3.0,450.0
"HD 2T SAMSUNG",26300,1.0,550.0
"DESKTOP P5 PH",101970,4.0,5600.0
"DESKTOP P5 ML",93030,3.0,4200.0
"MEMORIA DDR 3 8GB",213590,2.0,180.0
"LEITOR DE CARTOES",42220,1.0,34.0
"DESKTOP I3",43840,5.0,9000.0
"IPOD NANO 16",47300,2.0,600.0
"JOGOS MALÉFICOS",214380,2.0,76.0
"PLAYSTATION 3",57080,4.0,3920.0
"LIQUIDIFICADOR WALLITA",201790,3.0,270.0
"PC DUAL CORE",156530,3.0,4050.0
"IPAD 32",165720,4.0,7600.0
"BARCO DE PEDRA",79770,2.0,74.0
"HD 3T SAMSUNG",144000,2.0,1400.0
"AS CRÔNICAS DE ANDROMEDA",150180,5.0,345.0
"ADVANCED AZURE",4410,3.0,210.0
"MOUSE OPTICO",233960,3.0,177.0
"LAVADORA LG 10L",168340,4.0,11200.0
"DESKTOP A5 HP",42370,3.0,3900.0
"DREAMC QUARTY",98630,4.0,720.0
"SONY W100",132950,2.0,1960.0
"A TEORIA",20600,1.0,198.0
"MOTO G6",207030,2.0,1720.0
"TECLADO WIRELESS MULTILASER",117390,4.0,480.0
"SMART TV PANASONIC 52",238820,2.0,8400.0
"TV LED 32 LG",170310,2.0,2200.0
"RIO DE JANEIRO / MIAMI",66280,2.0,3800.0
"SOCCER 2018",180870,4.0,580.0
"TV LED 50 SAMSUNG",224580,3.0,9900.0
"MEMORIA DDR 3 8GB",163000,4.0,360.0
"JUST DANCE",126370,1.0,99.0
"SMART TV PANASONIC 42",83550,2.0,4400.0
"NOKIA QUARTY",102530,2.0,600.0
"SAO PAULO / SALVADOR",195510,4.0,1800.0
"MESA DE CENTRO",29760,4.0,2000.0
"PLACA DE SOM",155500,2.0,580.0
"GELADEIRA BRASTEMP",85630,2.0,6000.0
"SAO PAULO / RECIFE",144390,2.0,720.0
"ROTEADOR 18 PORTAS",213910,2.0,600.0
"NOTEBOOK ACER 17",198170,2.0,4200.0
"TV 3D PHILIPS 42",52820,4.0,15200.0
"MESA 4 LUGARES",18800,4.0,4000.0
"UM CASO PERDIDO",18950,4.0,224.0
"LAVADORA GANCA 10L",240910,2.0,10800.0
"THIEF",183960,2.0,280.0
"NOTEBOOK HP INOVE",19630,2.0,6600.0
"HD 3T",75800,2.0,1520.0
"GLADIADORES",100550,4.0,580.0
"DESKTOP A5 HP",133970,3.0,3900.0
"COMBO TECLADO E MOUSE",162660,2.0,620.0
"CARTAO SD 128 GB SANDISK",168780,1.0,156.0
"TV LED 50 LG",14860,3.0,9300.0
"DESKTOP A5 HP",194230,1.0,1300.0
"WARIO",150320,2.0,290.0
"CARTAO SD 32 GB SANDISK",33110,3.0,96.0
"SOUTH PLACE",8350,5.0,490.0
"RIO DE JANEIRO / LONDRINA",79930,2.0,860.0
"NOTEBOOK MSFT HIBR",209840,5.0,24000.0
"TV PLASMA PHILIPS 42",207950,3.0,3600.0
"JUICER CCE",121590,4.0,1720.0
"SAO PAULO / BUENOS AIRES",4630,1.0,1090.0
"TV LED 42 CCE",84840,5.0,8000.0
"DRAGON BLAZER",59450,5.0,450.0
"NOTEBOOK SONY 3D",6580,4.0,10000.0
"SMART TV PHILIPS 46",206790,3.0,9597.0
"LG OPTIMUS",101550,2.0,1780.0
"TV LED 50 SAMSUNG",47460,1.0,3300.0
"CARREGADOR TURBO CELULAR",94030,1.0,99.0
"RIO DE JANEIRO / LONDRINA",246760,3.0,1290.0
"HD 1T SAMSUNG",126690,3.0,780.0
"ARMARIO COZINHA 6 PORTAS",237430,3.0,7500.0
"MIXER BRITANIA",30430,2.0,180.0
"TV LED 50 SONY",148870,2.0,6400.0
"MP4 32 GB SONY",10140,2.0,480.0
"IPOD NANO 32",29810,2.0,900.0
"DREAMC VGA",174590,4.0,600.0
"NOTEBOOK SONY AWS",230490,5.0,13750.0
"RIO DE JANEIRO / PARIS",8010,3.0,6900.0
"NOTEBOOK SONY JK",176810,3.0,8400.0
"NOTEBOOK MSFT 17",202540,4.0,12400.0
"PLAYSTATION 3",209200,2.0,1960.0
"GRAVITACIONAL",254590,2.0,156.0
"SAO PAULO / LIMA",212150,2.0,3800.0
"RIO DE JANEIRO / NEW YORK",170890,1.0,2600.0
"RIO DE JANEIRO / CURITIBA",246480,3.0,1350.0
"JOGOS VORAZES",159910,4.0,180.0
"GRILL GEROGE FOREMAN",39510,3.0,750.0
"SMART TV PANASONIC 52",71600,4.0,16800.0
"RIO DE JANEIRO / PARIS",75040,2.0,4600.0
"DIÁRIO ROMÂNTICO",78460,1.0,176.0
"FUTEBOL 2018",210450,2.0,290.0
"DESKTOP A5 ML",17240,2.0,2600.0
"SAO PAULO / SALVADOR",62720,5.0,2250.0
"RIO DE JANEIRO / MADRID",249440,3.0,5400.0
"SAO PAULO / LONDRINA",20520,4.0,1240.0
"NOTEBOOK HP C-34",161530,4.0,9200.0
"NOTEBOOK SONY JK",244300,5.0,14000.0
"DESKTOP I5",251640,1.0,2100.0
"SAO PAULO / BELO HORIZONTE",137260,2.0,500.0
"A CASA",174960,5.0,1495.0
"A VIDA SECRETA",238650,2.0,74.0
"RIO DE JANEIRO / PARIS",71780,2.0,4600.0
"SAO PAULO / RECIFE",60280,1.0,360.0
"MESA JANTAR 6 LUGARES",65940,5.0,12500.0
"SAO PAULO / RIO DE JANEIRO",112700,3.0,690.0
"O SUPER-HERÓI",242490,5.0,225.0
"HD 1T SAMSUNG",172460,5.0,1300.0
"GALAXY TAB 10",187100,2.0,4600.0
"A VIDA SECRETA",157880,2.0,74.0
"NOTEBOOK HP INOVE",236170,4.0,13200.0
"ADVANCED AZURE",124770,4.0,280.0
"SONY I5",215230,5.0,9000.0
"CAMA CASAL",178790,2.0,2000.0
"DRAGON BLAZER",16100,2.0,180.0
"RIO DE JANEIRO / CURITIBA",86810,4.0,1800.0
"MOUSE OPTICO",47680,4.0,356.0
"MOTO G5",101300,5.0,3395.0
"PENDRIVE 128",47470,3.0,438.0
"NOTEBOOK ACER 15",33200,4.0,6000.0
"CARTAO SD 32 GB SANDISK",155270,1.0,32.0
"SONY W200",121940,5.0,5500.0
"HD 2T",38800,2.0,1300.0
"TV LED 50 SAMSUNG",96740,4.0,13200.0
"TV LED 42 SONY",81520,1.0,2000.0
"PENDRIVE 32 MULTILASER",58160,4.0,200.0
"RIO DE JANEIRO / CURITIBA",15140,3.0,1350.0
"VINGANÇA",165800,3.0,135.0
"SAO PAULO / BUENOS AIRES",203470,4.0,4360.0
"SAMSUNG XY 3",8470,4.0,3200.0
"SONY I7",186970,1.0,2500.0
"THIEF",155440,1.0,140.0
"COMBO TECLADO E MOUSE",219320,3.0,390.0
"RIO DE JANEIRO / LIMA",189340,3.0,5700.0
"REVELADOS",28380,3.0,144.0
"SMART TV PHILIPS 46",97900,3.0,9597.0
"BARCO DE PEDRA",134100,2.0,74.0
"NOTEBOOK SONY AWS",9750,5.0,13750.0
"LIQUIDIFICADOR ARNO",246540,2.0,174.0
"HD 3T",184510,4.0,3040.0
"SAO PAULO / GOIANIA",61040,3.0,1200.0
"DESKTOP 17",175850,1.0,2300.0
"RIO DE JANEIRO / LIMA",57840,2.0,3800.0
"O IMORTAL",89760,5.0,185.0
"TV 3D PHILIPS 42",165410,3.0,11400.0
"RIO DE JANEIRO / CAMPINAS",177920,5.0,1250.0
"WINDOWS 2016 VISAO GERAL",179580,2.0,180.0
"SAO PAULO / SALVADOR",246530,2.0,900.0
"MESA 4 LUGARES",141790,2.0,2000.0
"DESKTOP I5",117450,1.0,2100.0
"LIQUIDIFICADOR ARNO",30160,4.0,348.0
"CARTAO SD 64 GB SAMSUNG",186110,1.0,78.0
"MESA 4 LUGARES",229490,4.0,4000.0
"RAIDER",7440,4.0,480.0
"PENDRIVE 128",20180,4.0,584.0
"TV LED 32 LG",109980,4.0,4400.0
"SONY W100",17460,2.0,1960.0
"CAMA SOLTEIRO",16590,4.0,2400.0
