"nome","razao_social"
"RONEILSON CORDEIRO DE MOURA","ECOS"
"PEDRO HENRIQUE DE OLIVEIRA MORAES","ELIANI MODAS"
"MOISES VIEIRA SALES DE ARAUJO","DANIEL ELETRODOMESTICOS"
"PAULO CICERO ALENCAR FEITOSA","ELV MANUTENÇÃO DE MÁQUINAS E EQUIPAMENTOS EIRELI"
"GILVAN RIBEIRO DOS SANTOS","EMPRESA MUNIC DE DESENVOLVIMENTO URBANO RURAL DE BAURU"
"LIAN GABRIEL DA ROCHA SILVA","ESPAÇO DA MODA – EIRELI"
"WILLIEMBERG ARAUJO DE PAULO","F. L. MACHADO DO NASCIMENTO"
"ALISSON RIAN PEREIRA DA FONSECA","F W DISTRIBUIDORA LTDA."
"ANNA LIDIA NUNES VARELA","MARIA VALDENY COUTINHO PEREIRA ME"
"CICERA ROCHA DA SILVA","MARIA VANIA SOARES ME"
"REJANE MARIA DE OLIVEIRA","MARQ`S COMERCIO DE MOVEIS E VARIEDADES LTDA ME"
"ULISSES MONTEALVERNE DE SOUZA FLORENCIO","MARTHA M. DA S. FERREIRA IMÓVEIS"
"VERCIA BARRETO DE LIMA","MAT LOPES COMERCIO DE VARIEDADES EIRELI ME"
"LIDIANA GOMES DE SOUSA","ALIMENTOS SOFRIOS EIRELI"
"LUANA ANDRADE NOBREGA","MEDMAX COMERCIO DE MEDICAMENTOS LTDA – EPP"
"RICARDO AMARO DE OLIVEIRA","ALISUL ALIMENTOS SA"
"MARIA ROSANGELA DE SOUSA","MELO E BAU COM. DE CONFEC. E PREST. DE SERV. EM EVENTOS LTDA"
"CLEIDE DE GOIS","MENDES BEZERRA COMERCIO DE MOVEIS LTDA"
"ANDERSON CARLOS DA SILVA ROCHA","MENDES BEZERRA COMERCIO DE MOVEIS LTDA"
"JAILTON SILVA DE MENDONCA","MENDES BEZERRA COMERCIO DE MOVEIS LTDA - EPP"
"YARA ALVES DA SILVA","MERCADINHO WALTER"
"JOAO LENON DA SILVA PAIVA","MFF CLINICA VETERINARIA E COMERCIO DE PRODUTOS LTDA"
"WARLA FEITOSA CORREIA ALMEIDA","ALLAN DOS SANTOS ALVINO ME"
"WIVANY FELIX DE ALMEIDA","MMF INDUSTRIA E COMERCIO DE PEÇAS E SERVIÇOS LTDA"
"LUCAS LEANDRO DE SOUZA","ANA MARIA MARQUES TAVARES PEREIRA LTDA"
"MARIA DE LOURDES AURÉLIO CAVALCANTE","FEEF"
"JOSE DORGIVAL DA SILVA","ANA PATRICIA DA SILVA ARAUJO"
"ANA CAROLINE ARAUJO DA SILVA","MUNICIPIO DE BRAGANCA PAULISTA"
"ERIK NAVARRO WOLKART","MUNICIPIO DE HORTOLANDIA"
"GABRIEL FERDINANDO MOREIRA PESENTE","MUNICIPIO DE LAURO DE FREITAS"
"LUANA CARLA DOS SANTOS QUEIROZ","MUNICIPIO DE MAIRIPORA"
"JONAS FERREIRA DA SILVA","MUNICIPIO DE PONTAL"
"HITALO BRENO ROCHA CABRAL","MUNICIPIO DE PRESIDENTE PRUDENTE"
"MARIA DO SOCORRO GOMES RODRIGUES","MUNICIPIO DE SERRANA"
"ANDERSON FELIX DE SOUSA","MUNICIPIO DE SOA ROQUE"
"ANTONIA DORALICE SILVA SOUSA","MUNICIPIO DE TAUBATE"
"FRANCISCO ANTONIO DA SILVA MONTEIRO","FORMATTO COMERCIO DE MOVEIS UNIPESSOAL LTDA"
"ANDRE CHAVES SANTIAGO","A. A. CARVALHO COMERCIAL DE TECIDOS EIRELI"
"CAROLAINE COSTA  ALVES","A E SOARES DOS SANTOS ME"
"VITOR GONCALVES SENNA","A L B COMÉRCIO DE CALÇADOS EIRELI - ME"
"DEBORA DA SILVA CHAVES GONÇALVES","A MARIA DE FRANCA"
"BRENO SAMPAIO DA SILVA","A P DE AGUIAR NETO LTDA"
"MARIA ODINEIA DA SILVA","ALEXSANDRO CHAVES DA ROCHA"
"ALLANIS SILVA DOS SANTOS","ALTAIDES PAES DE OLIVEIRA ME"
"RODGER FRANCO DE ROGERIO","ALVES & ALVES VESTUARIOS LTDA"
"LUIZ GUILHERME ALMEIDA CAFE","ANFIL EQUIPAMENTOS PARA AVES E SUINOS LTDA"
"MARIA EMANUELA DE SOUSA DO NASCIMENTO","ANMAP"
"MARIA CLAUDENIZA DO NASCIMENTO DANTAS","ANTONIA GELZA PAULO FERREIRA ME"
"NADIA LEANDRO MARQUES","BOMLAR COMERCIO DE MOVEIS LTDA EPP"
"VANESSA CAMPOS ALVES","ANTONIO MARCILIO DE OLIVEIRA GOIS ME"
"SUELI DOS SANTOS ALMEIDA","M5 INDUSTRIA E COMERCIO DE VESTUARIO EM GERAL EIRELI"
"JOVANIA MARIA BARBOSA DE SOUZA SILVA","N L TRANSPORTES E LOGISTICA LTDA - ME"
"MARIA CLAUDENIA LIMA BARBOSA","NBK COMERCIO DE ROUPAS E ACESSORIO LTDA - ME"
"PAULO WANDERSON DE SOUSA OLIVEIRA","NDBC INVESTIMENTOS E PARTICIPACOES S/A"
"FRANCISCO DANIEL DE OLIVEIRA FERREIRA","NET FAST LTDA"
"JESUS EMANUEL RODRIGUES COSTA","NEW QUALITTY - COMERCIO DE MOVEIS ESCOLARES"
"SAMUEL PRUDENCIO DA SILVA","ODAILSON AUTO PEÇAS LTDA"
"MARIA ERIENE LEITE","PARSEC CORRETORA DE SEGUROS LTDA"
"ANTONIO TEIXEIRA CARVALHO","PAYOL ALIMENTOS LTDA"
"MARIA CRISTIANA LIMA DA SILVA","PETROX COMERCIO DE COMBUSTIVEIS LTDA"
"ISAAC SILVA ALENCAR","PETYAN INDUSTRIA DE ALIMENTOS LTDA"
"MARIA DA CONCEIÇÃO SILVA DE SOUSA","PILO FACTORING"
"LILIAN BRENA COSTA DE SOUZA","PINHEIRO NETO ADVOCACIA"
"MARIA ROSILEUDA ARCANJO","POLICIA CIVIL DO ESTADO DE MINAS GERAIS"
"MARIA JADYELLEN HORA DO NASCIMENTO","PONTUAL CONSTRUCOES E INCORPORACOES LTDA"
"DEIDIANE SARAIVA SILVA","POSTO SANTA BARBARA LDTA"
"ANALICE GALDINO DA SILVA","PREFEITURA MUNICIPAL DE ARAXA"
"FELIPE DOS SANTOS MELO","PRIME ENERGY COMERCIALIZADORA DE ENERGIA EIRELI"
"JONAS ANTONIO ARAUJO RODRIGUES","R. ARRUDA OLIVEIRA FILHO"
"ANDRE DE FREITAS GOMES LINARD","R O COMERCIO OTICO LTDA"
"JOZIVALDO SARAIVA LEMOS","ATANAGILDO PONTES MOITA ME"
"JOSELANY GOMES DA SILVA","AV TURISMO"
"MARIA NILZELITA LADE PRIMO","BB DE VASCONCELOS SERVIÇOS DE CONSTRUÇÕES LTDA - ME"
"KAILANE SEVERINO ALVES","BENDERHOME EMPREENDIMENTOS IMOBILIARIOS EIRELI"
"CARLOS EDUARDO RODRIGUES DA MOTA","BERINTECS"
"DARLAN MOURA AMARO","BIOFIBRA INDUSTRAI E COMERCIO LTDA"
"EVILANIA CARLA DA SILVA SOUZA","BLUEWAY TRADING IMPORTACAO E EXPORTACAO S.A."
"TATIANA RATTS DA COSTA","BORRACHARIA RADIANTE"
"MARIA QUEDIMA JANUARIO MESQUITA","BRASEMI SEMICONDUTORES S A"
"JOSE VICTOR CESAR DAVID BATISTA","CAMARA DE VEREADORES"
"ALLESSANDRO WELLINGTON PEREIRA TEIXEIRA","ARCOVERDE - COMERCIO VAREJISTA DE BOLSAS E CALCADOS EIRELI"
"MARIA JOSÉ MORAIS DE SOUSA FERNANDES","CAMPO LARGO COMERCIO DE VEICULOS E PECAS LTDA"
"CARLOS IZIDIO VIEIRA ALENCAR","CARDAN FORTALEZA LTDA"
"ANA ROSANGELA DIOGO RODRIGUES","CARL ZEISS VISION BRASIL INDUSTRIA OPTICA LTDA"
"MARDHEN LACERDA NICACIO OLIVEIRA","ARTHUR COMERCIO DE CALCADOS LTDA"
"FRANCISCO ARISTIDES SILVA AURELIANO","CARTRIBUTARIOLEGALIZACAOCND@RAIZEN.COM"
"WERUSKA WELLEN RODRIGUES FERREIRA","CENTRO DE FORM DE CONDUT INTERAGE LTDA"
"ANGELICA DE ABREU MORAIS DE SALES","CENTRO OTICO SOBRALENSE LTDA"
"THAYLINE RODRIGUES DE MELO","ARY BARROSO PARTICIPAÇÕES LTDA"
"MAIARA RAQUEL CAVALCANTE GOMES"," CINTIA MARIA BITTENCOURT DE OLIVEIRA - ME"
"ANA KARLA BENIGNO DANTAS","COMERCIAL ACARAI DE MAT."
"RONEY LEANDRO ALVES DA SILVA","COMERCIO DE ARTEFATOS DE MADEIRA CRUZEIRO DO SUL LTDA ME"
"PEDRO LUCAS FRANKLIN DO AMARAL","COMPANHIA DE SEGURANCA, TRANSITO E TRANSPORTE - CSTT"
"JANAILMA BIBIANA MATIAS GOMES","COOPERATIVA AGRICOLA DE JUAZEIRO DO NORTE LTDA"
"PATRICIA ELLEN DE AQUINO SILVA","COORD ADM FINANCEIRA CAF"
"ANNA JULLIA DIAS LINHARES","CREDFACIL COMERCIO DE MOVEIS E ELETROS LTDA"
"BRUNO GOMES SAMPAIO","CRISTINE AGUIAR MAIA"
"JOSE EDNALDO ALVES NASCIMENTO","ASSOCIAÇÃO SOCIOCULTURAL ARTE E VIDA DE MERUOCA"
"NICOLAS MARQUES DE FREITAS REBOUCAS","ATOS PROTETORES INDUSTRIA E COMERCIO EIRELI EPP"
"PRISCILA FERREIRA DE SOUSA VIEIRA","FRANCISCA VALDIRA SILVEIRA ALVES - EPP"
"FERNANDA ELAINE BARROS SOUZA","RHOMA CALCADAO COMERCIO DE FOLHEADOS LTDA"
"PEDRO HENRIQUE MAGALHAES BO","COMERCIAL IRMAOS NOGUEIRA LTDA"
"FELIPE DE AZEVEDO FARZAT","COMERCIO DE CONFECCOES PATRICINHA GIRL-ME"
"FRANCISCO TIAGO ARAUJO VIEIRA","BEIRA MAR TINTAS LTDA - EPP"
"ANA AUGUSTA ALVES DE OLIVEIRA","BRASIGRAN BRASILEIRA DE GRANITOS LTDA"
"DAMIANA BEZERRA DE OLIVEIRA","DEPARTAMENTO DE TRANSITO DE JOINVILLE - DETRANS"
"FRANCISCO RONIERE GOMES PINTO","CENTER FARMA LTDA"
"FRANCISCO ADRIANO MOREIRA","CAF COMERCIO SERVIÇOS E TRANSPORTES EIRELI"
"JOSÉ OSMAR SILVA NETO","EDI CARLOS DAMASCENO DE FREITAS ME"
"DAVID CARNEIRO DE ALBUQUERQUE","MATEUS BARROS VIEIRA"
"GERALDO BEZERRA LEANDRO","VETSUL ONLINE"
"LUANILDO OLIVEIRA DE SOUSA","DANIEL OLIVEIRA PEREIRA"
"MARIA DE FATIMA  ARAUJO MAGALHAES","FUMTRAN"
"MARIA EDUARDA CARNEIRO DA SILVA","F A M MAQUINAS E FERRAMENTAS LTDA"
"VANESSA MALVEIRA CAVALCANTI","CENTRO DE FORMACAO DE CONDUTORES PREFERENCIAL LTDA"
"JANINE DA SILVA LIMA","GLUCK PIANOS DO BRASIL LTDA"
"MARIA CUNHA GOMES DOS SANTOS","GONÇALVES COHIM E CIA LTDA"
"FRANCISCO RUBSON PEREIRA DE SOUSA","HAKA COMERCIAL DO BRASIL"
"EDINALVA PEDRO DE LIMA MARCOLINO","CICERA MARIA PAULINO ALVES ENCADERNACOES"
"ANTONIO SERGIO MOREIRA DE SANTIAGO FILHO","HIDROGAS"
"SUELEM PIMENTEL LACERDA","CIRURGICA KD COMERCIO DE MATERIAL HOSPITALAR LTDA"
"PAULO ANDRE DOS SANTOS SILVA","HOTEL VILLAMARIS"
"ANA CARLA RIPARDO","HUAWEI DO BRASIL TELECOMUNICACOES LTDA"
"LUIS EDUARDO DE ALMEIDA SOUSA","HUNTER DOUGLAS DO BRASIL LTDA"
"ANTONIO ANIZIO BEZERRA MORAIS","I 9 COLLOR INDUSTRIA LTDA-ME"
"JOSE TIAGO ARAUJO LIMA","IMMU"
"FRANCISCO OSORIO CAVALCANTE FILHO","INDEOV INTERMEDIAÇÕES E SERVIÇOS ADMINISTRATIVOS EIRELI"
"MARIA PATRICIA FEITOSA DOS SANTOS","INDUSTRIA DE CIMENTOS DE ALAGOAS LTDA"
"GILMARA GOMES DA SILVA SARMENTO","I.R. COMERCIO E MATERIAIS ELETRICOS"
"JACKSON RIBEIRO DA SILVA","IRMÃOS GALINDO MARTINS COMERCIAL DE COSMETICOS LTDA"
"ROBERT DA SILVA SOARES","ITUIUTABA GABINETE PREFEITO"
"ANA CRISTINA DE FREITAS ALVES","J & J COMERCIO DE CONFECCOES LTDA - ME"
"JOARES DA SILVA BUZIM","J C VARIEDADES"
"ELANE AGUIAR COSTA LUCAS","J MARTINS COMERCIAL DE COSMETICOS EIRELI"
"LEIDIANE DA SILVEIRA VASCONCELOS","JACOBINA PREFEITURA GABINETE DO PREFEITO"
"FRANCISCA ERIVAM DE OLIVEIRA SANTOS","JC COMERCIAL DE ALIMENTOS LTDA"
"CLEUCIVANE  AGUIAR XIMENES","JCP TRANSPORTE"
"MARIA DO SOCORRO DA SILVA CARVALHO LIMA","J.E.R. SILVA VARIEDADES LTDA"
"FRANCISCO DE ASSIS PAIVA JUNIOR","JOAO BOSCO M FEITOSA ME"
"ALEX SANDRO DUARTE DA SILVA","JOAO MONLEVADE"
"ANDRESA SOARES DE LIMA","OFICINA DO INOX INDUSTRIA E COMERCIO LTDA"
"ELTON FREIRE GOMES","P P V DISTRIBUIDORA LTDA"
"GABRIEL TELES FERREIRA","JORGE LUIZ DE OLIVEIRA SABINO"
"JOSÉ ROBERTO CASTILHO PIQIEIRA","JOSE ADAILTON DE LIMA VARIEDADES ME"
"ANTONIO EVANDRO DE SOUSA SILVA","JOSE EDSON RODRIGUES PEREIRA ME"
"CICERA GOMES DA SILVA EVANGELISTA","COCO BAMBU PIZZARIA LTDA"
"DIEGO LIRA FOEPPEL","JULIO BEZERRA LEITE"
"RAQUEL SANTIAGO DE CARVALHO","COMERCIAL MELO E LIMAS UTILIDADES LTDA"
"MARIA JOSE ALVES CORREIA","COMERCIAL MONTANNA LTDA"
"ANA KATARINA DE SOUSA SILVA","COOPERBOA COOPERATIVA AGROPECUARIA DE BOA VIAGEM LTDA"
"ERICA MARIA DA SILVA","COORDENADORIA MUNICIPAL DE TRANSITO - COMUTRAN"
"FELLYPE GABRIEL BERNARDINO DE ARAUJO","L & ACOMERCIO VAREJISTA DE BIJUTERIAS ME"
"VALERIA LAUANE FERREIRA DOS SANTOS","L C DE LIMA COMERCIO DE EMBALAGENS"
"FRANCISCO ROMILSON DA SILVA ESTEVES","LACTALIS DO BRASIL COMERCIO, IMPORTACAO E EXPORTACAO"
"ISABELE CELESTINO DE SOUZA","LAECIO AGUIAR SOCIEDADE INDIVIDUAL DE ADVOCACIA"
"YASMIM DA SILVA NASCIMENTO","LETICIA COMERCIAL EIRELI"
"MARCOS PAULO MENDES DA SILVA","GERIBELLO ENGENHARIA LTDA"
"MILENA ALVES DA SILVA","LIDER LOCACOES CONSTRUCOES E SERICOS EIRELI"
"MARIANA CAROLINE PEREIRA FELIX","LIS COMERCIAL LTDA"
"JOSE ROBERTO DE SA","LOJAO DAS VARIEDADES EIRELI"
"ELIZANGELA MORAIS DE VASCONCELOS","LUA COMERCIO & CONVENIENCIAS LTDA-EPP"
"ANA CARLA FREITAS VIDAL","M IRANI DINIZ - ME"
"DAYANE DA SILVA MANCO","MANIA DE MODA COMERCIO VAREJISTA DE CONFECCOES E ARTIGOS DEC"
"MARIA CLOTILDE LOUREIRO BARRETO","ALLYSON RISTER PEREIRA LOPES 01672889383"
"FRANCISCO ERIK VENANCIO DE SOUZA","ALPHA TERCEIRIZAÇÃO -EIRELLI"
"IONETE DA SILVA RIBEIRO DE SOUZA","ALUTECH TECNOLOGIA E LOCACOES S.A"
"MARIA LAYANE SALES DA SILVA","ROBERTO FORTES DISTRIBUIDORA"
"PAULO LIMA GOMES","RP COMERCIO DE CSMETICOS EIRELI"
"JESSICA DE OLIVEIRA MESQUITA","RUBENS RODRIGUES DE MESQUITA"
"MARIA LUIZA DOS SANTOS","S M DE SOUSA FILHO"
"SAMUEL MACHADO SANTOS LIMA","RCR LOCACAO LTDA"
"EDÍLSON PEREIRA PINTO","DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS OLIVEIRA LTDA /  IANA VIRGINIA DE OLIVEIRA BARROS ME"
"VIVIAN CARVALHO DE ARAUJO","DIVINO JOQUEI RESTAURANTE LTDA ME"
"OTACILIO AUGUSTO DA SILVA FILHO","DO NASCIMENTO SOUZA ADVOGADOS"
"NATANAEL OLIVEIRA SILVA","SARAIVA & SOUSA LTD"
"ANDRESSA RODRIGUES DE SOUZA","SECRETARIA DA INFRA - ESTRUTURA"
"MARIA AURINEIDE BENEVENUTO DE SOUSA","SENDAS DISTRIBUIDORA S/A"
"JOELMA ALVES DA SILVA","SKY BEACH"
"FLAVIANE KELE MOURA SILVA","STAR COMERCIO DE MOVEIS LTDA"
"ANA LUIZA DE ALMEIDA LOSNAK","SUPERINTENDENCIA MUNICIPAL DE TRANSITO E TRANSPORTE - SMTT"
"CIBELLY ANDRADE FELIX","SUPERINTENDENCIA MUNICIPAL DE TRANSPORTES DE TRANSITO"
"MARCIO PINHEIRO DA SILVA","T M S PANIFICADORA EIRELI"
"ANA CLAUDIA BARBOSA MATOS DA SILVA","TAMARA MARIA FEIJO GOMES HOLANDA ME"
"RENAN FREITAS RIBEIRO","TEOBALDO APOLIANO & CIA LTDA"
"THIAGO OLIVEIRA ARARIPOE","TRANSCON"
"FRANCISCO JOHNY RODRIGUES DE FREITAS","TRANSERP - EMPRESA DE TRANSITO E TRANSPORTE URBANO DE RIBEIRAO PRETO S/A"
"JOSE AYRTON PESSOAS BESERRA","VAN LANKVELD EXP. COM IMPOR. ENT."
"DAMIANA ALVES BRUNO","VANDERLEY COSTA FONTENELE"
"VIVIANE MENDONCA CUNHA AMARO","W MOREIRA DA SILVA ME"
"JONAS PAULO BORGES DO NASCIMENTO","500 AUTOS STORE"
"BARBARA KAUANY DE CASTRO CUNHA","JOAIMO SILVA RODRIGUES TRANSPORTES LTDA"
"FRANCISCO GEORGE ANDRADE","ELTON J V DA SILVA TRANSPORTES"
"MARIA LEILA BELO DE SOUSA","FRANCISCO FABIO VALENTIM DE SOUSA"
"ANA CAROLINA POMPÉIA NAVARRO MENDONÇA","ESCOLA DE EDUCACAO PRE-ESCOLAR INFANTIL E FUNDAMENTAL TIA SUSI - CLUBINHO DO SABER LTDA"
"LOURISLENE GONÇALVES DE OLIVEIRA","AMANDA FERREIRA SOUSA EIRELI"
"KRISLANDIA ALVES ARAUJO","FACEPA FABRICA DE PAPEL DA AMAZONIA S/A"
"GABRIEL MIRANDA CHAVES","ALFREDO GOMES DE FREITAS JUNIOR / COOPERATIVA DOS TRANSPORTADORES UNIDOS LTDA"
"CARLOS JOSE MORAIS LIMA","FORLAB COMERCIO DE EQUIPAMENTOS E MATERIAIS PARA LABORATORIOS EIRELI"
"THAISSA ELLEN  PEREIRA DA SILVA","GUSTAVO & ISABEL LTDA"
"ESKARLATY ALVES CAETANO","H E F CORRETORA DE SEGUROS E CONSULTORIA LTDA"
"MÔNICA NOGUEIRA LIMA DE OLIVEIRA","GARCIAS & KALICHEWSKI EXTINTORES LTDA"
"TATIANA LEANDRO SILVA","INDUSTRIA E COMERCIO DE MOVEIS MARX LTDA"
"EDILENE PINHEIRO FERREIRA","LUZIA CARNEIRO GOMES – ME"
"MILIANA BATISTA DE BRITO","ITP INDUSTRIA, COMERCIO E SERVICOS DE TUBOS & PERFIS LTDA"
"RAUL NEY DA SILVA ARAÚJO","ALINE GALANTINNI SILVA 08939850661"
"DAIANE DA SILVA LIMA SANTINONI","J ALEXANDRE FREIRE - ME"
"MARIA DA GLORIA SA COSTA","J. B. BEZERRA NETO MOVEIS EIRELI"
"LIVIA  DOS SANTOS MAGALHAES","J BELO JUNIOR MOLDURAS E DECORACOES EIRELI"
"FRANCISCO GLEICIANO LINHARES DE SOUSA","J C RODRIGUES MOVEIS E ELETRODOMESTICOS EIRELI ME"
"BRUNO DA SILVA SOUZA","J R DE C MAIA & CIA LTDA ME"
"ANA JULIA DE SOUSA CATUNDA","J S T FERREIRA GOMES SUPERMERCADOS LTDA"
"JANAINA ROCHA CAVALCANTE","MARIA APARECIDA DE PAIVA DIAS"
"JORGE HENRIQUE DA FONSECA PONTES","MARIA GLEIDIANE RODRIGUES DA SILVA ME"
"JOÃO CLAUDIO NUNES CARVALHO","JOSE MARCIEL ARAUJO DE ABREU ME"
"AURILENE FERREIRA DE LIMA","MELKEDEC TEIXEIRA - SOCIEDADE INDIVIDUAL DE ADVOCACIA"
"JULIO CESAR RIBEIRO MAIA","KEROBIKE COMERCIO DE BICICLETAS LTDA"
"TATHIANE LOIOLA MARTINS","KOSMOS CONSTRUTORA LTDA - EPP"
"JOABE LEONARD FEITOSA","L M FERREIRA FELIPE COMERC"
"FLAVIA TEIXEIRA SABOIA","ANGADA IMPORT LTDA"
"DIEGO SILVA ALMEIDA","SANTO ANTONIO DO PINHAL GABINETE PREFEITO"
"ANDREYSSA AGUIAR MAGALHAES LOPES","SANTOS E MELO SOCIEDADE DE ADVOGADOS"
"EDLAR MARIA I SANTIOAGO","LINDOMAR VICTOR DE OLIVEIRA ME"
"FRANCIELLE SILVA AMARO","NKK COMERCIO"
"APARECIDA FIRMINO DOS SANTOS DA ROCHA","LOJAO DOS TRATORES COMERCIO LOJAO DOS TRATORES COMERCIO DE PECAS LTDA DE PECAS LTDA"
"JOSÉ ROBERTO GOMES DE SOUSA","M. RODRIGUES SILVA - ME"
"JÉSSICA AZEVEDO FURTADO","MACHADO TRANSPORTES PESADOS LTDA"
"NATAHALLE SOUSA LUCENO BRITO","MACIEL & MARTONI SERVIÇOS AMBULATORIAIS LTDA"
"ANDREIA PEREIRA BEZERRA","ANTONIO MENDES FIGUEREDO FILHO"
"MARIA JEANE VIANA ALVES","MARIA MOREIRA DE SOUSA MEDICAMENTOS ME"
"DAVI RODNEY DA SILVA MOTA","ARAGÃO SOCIEDADE IND. DE ADVOCACIA"
"ALICE DE LIMA BESSA ARAUJO","ARASUCAR ACUCAREIRA ARACATIENSE LTDA"
"JOSE MARIO DOS SANTOS SILVA","ARIELA CALCADOS COMERCIAL EIRELI"
"TALITA OLIVEIRA DE MOURA","ARILAUDO RIBEIRO DE MELO ERELI"
"JULIANE ABREU DA SILVA","ASSOCIAÇÃO ATLÉTICA BANCO DO BRASIL"
"LARA LEITE FERNANDES","AUDIOFOR - COMERCIAL DE APARELHOS MEDICOS LTDA"
"EXPEDITA MARIA DE MOURA MELO","MARIA SOLANGE FREITAS SILVA"
"ALINA MARIA DOS SANTOS LINO","MARIA VANUBIA ALVES DA SILVA"
"VANESSA DIAS ALVES","AURIMAR FELIZARDO DE HOLANDA"
"LIA CHAVES PINHEIRO","AUTO ESCOLA NOGUEIRA LTDA"
"BRUNA BELO FERREIRA","BARROS, MARTINS & ADVOGADOS ASSOCIADOS"
"GLEYCIANE DE SOUSA ALVES","E A DA SILVA PEREIRA CONFECCOES ME"
"FRANCISCA JAKELINE DE SOUSA","VALGROUP HD INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA"
"MATEUS ALVES AZEVEDO","MD CE CASTELAO CONSTRUCOES SPE LTDA"
"MARIA SIMONE GONÇALVES FERREIRA","MEGA REMI LTDA"
"FRANCISCO DIONE RIBEIRO DA COSTA","AGIL TRANSPORTE E LOGISTICA LTDA"
"MARIA JOSÉ DOS SANTOS","MESQUITA E SOUSA LEAO COMERCIO DE PERFUMARIA LTDA"
"DIANA DE LIMA","METAL COUROS COMERCIO DE METAIS E COUROS LTDA - ME"
"MICHELLY PEREIRA DE OLIVEIRA","ALERGOBELA - COMERCIAL DE COSMETICOS LTDA"
"RODRIGO DO NASCIMENTO MAGALHÃES","MINAS SOLUÇÕES EM IMPRESSÃO LTDA"
"BIANCA FREITAS DE OLIVEIRA","MIXFORT COMERCIO DE UTILIDADES E ACESSORIOS - EIRELI - EPP"
"ELIZABETH PEREIRA VIEIRA LIMA","MM COMERCIAL DE ALIMENTOS LTDA"
"CARLIENY PEREIRA E SILVA","MM LOCACAO DE VEICULOS E SERVICOS LTDA"
"IRLANDA BARROSO DE ALMEIDA","MUNICIPIO DE BEBEDOURO"
"HELTON SANTOS DA SILVA","MUNICIPIO DE EUNAPOLIS"
"YRUSKA SILVA NEVES","MUNICIPIO DE FRANCO DA ROCHA"
"LIVIA AMORIM BELTRÃO","MUNICIPIO DE ITAPEVI"
"REINALDO MORAIS DE SOUSA","MUNICIPIO DE JARINU"
"BERNARDO OLIVEIRA SILVA","MUNICIPIO DE PITANGUEIRAS"
"EDVARDO RABELL FELIPE DA SILVA","MUNICIPIO DE SANTA CRUZ DAS PALMEIRAS"
"PAULO EDSON ROCHA","PATRICIA NEVES FEITOSA FERRO SAORES ME"
"SONIA MARIA LIMA ROCHA","C F C AUTO ESCOLA HORIZONTE LTDA - ME"
"LUIS EDUARDO NUNES DA SILVA","C KOZAR DOS SANTOS INFO ELETRO"
"EDMUNDO SAMPAIO FONTENELE","CAIEIRAS GABINETE PREFEITO"
"PEDRO PEREIRA DE ABREU JUNIOR","PAULO HENRIQUE ABREU SOCIEDADE INDIVIDUAL DE ADVOCACIA"
"JEAN SOUSA RIBEIRO","ANTONIA MARIA DE CARVALHO - ME"
"LUISA MARCELLAH DE JESUS SANTOS SILVA","POLO DO ELETRO COMERCIAL DE MOVEIS LTDA"
"ELENIZE DOS SANTOS CALDAS","POUPEFARMA AMONTADA LTDA"
"ANA BEATRIZ CARVALHO LIMA","ANTONIO AIRTON MIRANDA EPP"
