"cidade","estado"
"PEÇANHA","MINAS GERAIS"
"PEDRA AZUL","MINAS GERAIS"
"PEDRA BONITA","MINAS GERAIS"
"PEDRA DO ANTA","MINAS GERAIS"
"PEDRA DO INDAIÁ","MINAS GERAIS"
"PEDRA DOURADA","MINAS GERAIS"
"PEDRALVA","MINAS GERAIS"
"PEDRAS DE MARIA DA CRUZ","MINAS GERAIS"
"PEDRINÓPOLIS","MINAS GERAIS"
"PEDRO LEOPOLDO","MINAS GERAIS"
"PEDRO TEIXEIRA","MINAS GERAIS"
"PEQUERI","MINAS GERAIS"
"PEQUI","MINAS GERAIS"
"PERDIGÃO","MINAS GERAIS"
"PERDIZES","MINAS GERAIS"
"PERDÕES","MINAS GERAIS"
"PERIQUITO","MINAS GERAIS"
"PESCADOR","MINAS GERAIS"
"PIAU","MINAS GERAIS"
"PIEDADE DE CARATINGA","MINAS GERAIS"
"PIEDADE DE PONTE NOVA","MINAS GERAIS"
"PIEDADE DO RIO GRANDE","MINAS GERAIS"
"PIEDADE DOS GERAIS","MINAS GERAIS"
"PIMENTA","MINAS GERAIS"
"PINGO-D'ÁGUA","MINAS GERAIS"
"PINTÓPOLIS","MINAS GERAIS"
"PIRACEMA","MINAS GERAIS"
"PIRAJUBA","MINAS GERAIS"
"PIRANGA","MINAS GERAIS"
"PIRANGUÇU","MINAS GERAIS"
"PIRANGUINHO","MINAS GERAIS"
"PIRAPETINGA","MINAS GERAIS"
"PIRAPORA","MINAS GERAIS"
"PIRAÚBA","MINAS GERAIS"
"PITANGUI","MINAS GERAIS"
"PIUMHI","MINAS GERAIS"
"PLANURA","MINAS GERAIS"
"POÇO FUNDO","MINAS GERAIS"
"POÇOS DE CALDAS","MINAS GERAIS"
"POCRANE","MINAS GERAIS"
"POMPÉU","MINAS GERAIS"
"PORTO FIRME","MINAS GERAIS"
"POTÉ","MINAS GERAIS"
"POUSO ALEGRE","MINAS GERAIS"
"POUSO ALTO","MINAS GERAIS"
"PRADOS","MINAS GERAIS"
"PRATA","MINAS GERAIS"
"PRATÁPOLIS","MINAS GERAIS"
"PRATINHA","MINAS GERAIS"
"PRESIDENTE BERNARDES","MINAS GERAIS"
"PRESIDENTE JUSCELINO","MINAS GERAIS"
"PRESIDENTE KUBITSCHEK","MINAS GERAIS"
"PRESIDENTE OLEGÁRIO","MINAS GERAIS"
"PRUDENTE DE MORAIS","MINAS GERAIS"
"QUARTEL GERAL","MINAS GERAIS"
"QUELUZITO","MINAS GERAIS"
"RAPOSOS","MINAS GERAIS"
"RAUL SOARES","MINAS GERAIS"
"RECREIO","MINAS GERAIS"
"REDUTO","MINAS GERAIS"
"RESENDE COSTA","MINAS GERAIS"
"RESPLENDOR","MINAS GERAIS"
"RESSAQUINHA","MINAS GERAIS"
"RIACHINHO","MINAS GERAIS"
"RIACHO DOS MACHADOS","MINAS GERAIS"
"RIBEIRÃO DAS NEVES","MINAS GERAIS"
"RIBEIRÃO VERMELHO","MINAS GERAIS"
"RIO ACIMA","MINAS GERAIS"
"RIO CASCA","MINAS GERAIS"
"RIO DO PRADO","MINAS GERAIS"
"RIO DOCE","MINAS GERAIS"
"RIO ESPERA","MINAS GERAIS"
"RIO MANSO","MINAS GERAIS"
"RIO NOVO","MINAS GERAIS"
"RIO PARANAÍBA","MINAS GERAIS"
"RIO PARDO DE MINAS","MINAS GERAIS"
"RIO PIRACICABA","MINAS GERAIS"
"RIO POMBA","MINAS GERAIS"
"RIO PRETO","MINAS GERAIS"
"RIO VERMELHO","MINAS GERAIS"
"RITÁPOLIS","MINAS GERAIS"
"ROCHEDO DE MINAS","MINAS GERAIS"
"RODEIRO","MINAS GERAIS"
"ROMARIA","MINAS GERAIS"
"ROSÁRIO DA LIMEIRA","MINAS GERAIS"
"RUBELITA","MINAS GERAIS"
"RUBIM","MINAS GERAIS"
"SABARÁ","MINAS GERAIS"
"SABINÓPOLIS","MINAS GERAIS"
"SACRAMENTO","MINAS GERAIS"
"SALINAS","MINAS GERAIS"
"SALTO DA DIVISA","MINAS GERAIS"
"SANTA BÁRBARA","MINAS GERAIS"
"SANTA BÁRBARA DO LESTE","MINAS GERAIS"
"SANTA BÁRBARA DO MONTE VERDE","MINAS GERAIS"
"SANTA BÁRBARA DO TUGÚRIO","MINAS GERAIS"
"SANTA CRUZ DE MINAS","MINAS GERAIS"
"SANTA CRUZ DE SALINAS","MINAS GERAIS"
"SANTA CRUZ DO ESCALVADO","MINAS GERAIS"
"SANTA EFIGÊNIA DE MINAS","MINAS GERAIS"
"SANTA FÉ DE MINAS","MINAS GERAIS"
"SANTA HELENA DE MINAS","MINAS GERAIS"
"SANTA JULIANA","MINAS GERAIS"
"SANTA LUZIA","MINAS GERAIS"
"SANTA MARGARIDA","MINAS GERAIS"
"SANTA MARIA DE ITABIRA","MINAS GERAIS"
"SANTA MARIA DO SALTO","MINAS GERAIS"
"SANTA MARIA DO SUAÇUÍ","MINAS GERAIS"
"SANTA RITA DE CALDAS","MINAS GERAIS"
"SANTA RITA DE JACUTINGA","MINAS GERAIS"
"SANTA RITA DE MINAS","MINAS GERAIS"
"SANTA RITA DO IBITIPOCA","MINAS GERAIS"
"SANTA RITA DO ITUETO","MINAS GERAIS"
"SANTA RITA DO SAPUCAÍ","MINAS GERAIS"
"SANTA ROSA DA SERRA","MINAS GERAIS"
"SANTA VITÓRIA","MINAS GERAIS"
"SANTANA DA VARGEM","MINAS GERAIS"
"SANTANA DE CATAGUASES","MINAS GERAIS"
"SANTANA DE PIRAPAMA","MINAS GERAIS"
"SANTANA DO DESERTO","MINAS GERAIS"
"SANTANA DO GARAMBÉU","MINAS GERAIS"
"SANTANA DO JACARÉ","MINAS GERAIS"
"SANTANA DO MANHUAÇU","MINAS GERAIS"
"SANTANA DO PARAÍSO","MINAS GERAIS"
"SANTANA DO RIACHO","MINAS GERAIS"
"SANTANA DOS MONTES","MINAS GERAIS"
"SANTO ANTÔNIO DO AMPARO","MINAS GERAIS"
"SANTO ANTÔNIO DO AVENTUREIRO","MINAS GERAIS"
"SANTO ANTÔNIO DO GRAMA","MINAS GERAIS"
"SANTO ANTÔNIO DO ITAMBÉ","MINAS GERAIS"
"SANTO ANTÔNIO DO JACINTO","MINAS GERAIS"
"SANTO ANTÔNIO DO MONTE","MINAS GERAIS"
"SANTO ANTÔNIO DO RETIRO","MINAS GERAIS"
"SANTO ANTÔNIO DO RIO ABAIXO","MINAS GERAIS"
"SANTO HIPÓLITO","MINAS GERAIS"
"SANTOS DUMONT","MINAS GERAIS"
"SÃO BENTO ABADE","MINAS GERAIS"
"SÃO BRÁS DO SUAÇUÍ","MINAS GERAIS"
"SÃO DOMINGOS DAS DORES","MINAS GERAIS"
"SÃO DOMINGOS DO PRATA","MINAS GERAIS"
"SÃO FÉLIX DE MINAS","MINAS GERAIS"
"SÃO FRANCISCO","MINAS GERAIS"
"SÃO FRANCISCO DE PAULA","MINAS GERAIS"
"SÃO FRANCISCO DE SALES","MINAS GERAIS"
"SÃO FRANCISCO DO GLÓRIA","MINAS GERAIS"
"SÃO GERALDO","MINAS GERAIS"
"SÃO GERALDO DA PIEDADE","MINAS GERAIS"
"SÃO GERALDO DO BAIXIO","MINAS GERAIS"
"SÃO GONÇALO DO ABAETÉ","MINAS GERAIS"
"SÃO GONÇALO DO PARÁ","MINAS GERAIS"
"SÃO GONÇALO DO RIO ABAIXO","MINAS GERAIS"
"SÃO GONÇALO DO RIO PRETO","MINAS GERAIS"
"SÃO GONÇALO DO SAPUCAÍ","MINAS GERAIS"
"SÃO GOTARDO","MINAS GERAIS"
"SÃO JOÃO BATISTA DO GLÓRIA","MINAS GERAIS"
"SÃO JOÃO DA LAGOA","MINAS GERAIS"
"SÃO JOÃO DA MATA","MINAS GERAIS"
"SÃO JOÃO DA PONTE","MINAS GERAIS"
"SÃO JOÃO DAS MISSÕES","MINAS GERAIS"
"SÃO JOÃO DEL REI","MINAS GERAIS"
"SÃO JOÃO DO MANHUAÇU","MINAS GERAIS"
"SÃO JOÃO DO MANTENINHA","MINAS GERAIS"
"SÃO JOÃO DO ORIENTE","MINAS GERAIS"
"SÃO JOÃO DO PACUÍ","MINAS GERAIS"
"SÃO JOÃO DO PARAÍSO","MINAS GERAIS"
"SÃO JOÃO EVANGELISTA","MINAS GERAIS"
"SÃO JOÃO NEPOMUCENO","MINAS GERAIS"
"SÃO JOAQUIM DE BICAS","MINAS GERAIS"
"SÃO JOSÉ DA BARRA","MINAS GERAIS"
"SÃO JOSÉ DA LAPA","MINAS GERAIS"
"SÃO JOSÉ DA SAFIRA","MINAS GERAIS"
"SÃO JOSÉ DA VARGINHA","MINAS GERAIS"
"SÃO JOSÉ DO ALEGRE","MINAS GERAIS"
"SÃO JOSÉ DO DIVINO","MINAS GERAIS"
"SÃO JOSÉ DO GOIABAL","MINAS GERAIS"
"SÃO JOSÉ DO JACURI","MINAS GERAIS"
"SÃO JOSÉ DO MANTIMENTO","MINAS GERAIS"
"SÃO LOURENÇO","MINAS GERAIS"
"SÃO MIGUEL DO ANTA","MINAS GERAIS"
"SÃO PEDRO DA UNIÃO","MINAS GERAIS"
"SÃO PEDRO DO SUAÇUÍ","MINAS GERAIS"
"SÃO PEDRO DOS FERROS","MINAS GERAIS"
"SÃO ROMÃO","MINAS GERAIS"
"SÃO ROQUE DE MINAS","MINAS GERAIS"
"SÃO SEBASTIÃO DA BELA VISTA","MINAS GERAIS"
"SÃO SEBASTIÃO DA VARGEM ALEGRE","MINAS GERAIS"
"SÃO SEBASTIÃO DO ANTA","MINAS GERAIS"
"SÃO SEBASTIÃO DO MARANHÃO","MINAS GERAIS"
"SÃO SEBASTIÃO DO OESTE","MINAS GERAIS"
"SÃO SEBASTIÃO DO PARAÍSO","MINAS GERAIS"
"SÃO SEBASTIÃO DO RIO PRETO","MINAS GERAIS"
"SÃO SEBASTIÃO DO RIO VERDE","MINAS GERAIS"
"SÃO THOMÉ DAS LETRAS","MINAS GERAIS"
"SÃO TIAGO","MINAS GERAIS"
"SÃO TOMÁS DE AQUINO","MINAS GERAIS"
"SÃO VICENTE DE MINAS","MINAS GERAIS"
"SAPUCAÍ-MIRIM","MINAS GERAIS"
"SARDOÁ","MINAS GERAIS"
"SARZEDO","MINAS GERAIS"
"SEM PEIXE","MINAS GERAIS"
"SENADOR AMARAL","MINAS GERAIS"
"SENADOR CORTES","MINAS GERAIS"
"SENADOR FIRMINO","MINAS GERAIS"
"SENADOR JOSÉ BENTO","MINAS GERAIS"
"SENADOR MODESTINO GONÇALVES","MINAS GERAIS"
"SENHORA DE OLIVEIRA","MINAS GERAIS"
"SENHORA DO PORTO","MINAS GERAIS"
"SENHORA DOS REMÉDIOS","MINAS GERAIS"
"SERICITA","MINAS GERAIS"
"SERITINGA","MINAS GERAIS"
"SERRA AZUL DE MINAS","MINAS GERAIS"
"SERRA DA SAUDADE","MINAS GERAIS"
"SERRA DO SALITRE","MINAS GERAIS"
"SERRA DOS AIMORÉS","MINAS GERAIS"
"SERRANIA","MINAS GERAIS"
"SERRANÓPOLIS DE MINAS","MINAS GERAIS"
"SERRANOS","MINAS GERAIS"
"SERRO","MINAS GERAIS"
"SETE LAGOAS","MINAS GERAIS"
"SETUBINHA","MINAS GERAIS"
"SILVEIRÂNIA","MINAS GERAIS"
"SILVIANÓPOLIS","MINAS GERAIS"
"SIMÃO PEREIRA","MINAS GERAIS"
"SIMONÉSIA","MINAS GERAIS"
"SOBRÁLIA","MINAS GERAIS"
"SOLEDADE DE MINAS","MINAS GERAIS"
"TABULEIRO","MINAS GERAIS"
"TAIOBEIRAS","MINAS GERAIS"
"TAPARUBA","MINAS GERAIS"
"TAPIRA","MINAS GERAIS"
"TAPIRAÍ","MINAS GERAIS"
"TAQUARAÇU DE MINAS","MINAS GERAIS"
"TARUMIRIM","MINAS GERAIS"
"TEIXEIRAS","MINAS GERAIS"
"TEÓFILO OTONI","MINAS GERAIS"
"TIMÓTEO","MINAS GERAIS"
"TIRADENTES","MINAS GERAIS"
"TIROS","MINAS GERAIS"
"TOCANTINS","MINAS GERAIS"
"TOCOS DO MOJI","MINAS GERAIS"
"TOLEDO","MINAS GERAIS"
"TOMBOS","MINAS GERAIS"
"TRÊS CORAÇÕES","MINAS GERAIS"
"TRÊS MARIAS","MINAS GERAIS"
"TRÊS PONTAS","MINAS GERAIS"
"TUMIRITINGA","MINAS GERAIS"
"TUPACIGUARA","MINAS GERAIS"
"TURMALINA","MINAS GERAIS"
"TURVOLÂNDIA","MINAS GERAIS"
"UBÁ","MINAS GERAIS"
"UBAÍ","MINAS GERAIS"
"UBAPORANGA","MINAS GERAIS"
"UBERABA","MINAS GERAIS"
"UBERLÂNDIA","MINAS GERAIS"
"UMBURATIBA","MINAS GERAIS"
"UNAÍ","MINAS GERAIS"
"UNIÃO DE MINAS","MINAS GERAIS"
"URUANA DE MINAS","MINAS GERAIS"
"URUCÂNIA","MINAS GERAIS"
"URUCUIA","MINAS GERAIS"
"VARGEM ALEGRE","MINAS GERAIS"
"VARGEM BONITA","MINAS GERAIS"
"VARGEM GRANDE DO RIO PARDO","MINAS GERAIS"
"VARGINHA","MINAS GERAIS"
"VARJÃO DE MINAS","MINAS GERAIS"
"VÁRZEA DA PALMA","MINAS GERAIS"
"VARZELÂNDIA","MINAS GERAIS"
"VAZANTE","MINAS GERAIS"
"ACRELÂNDIA","ACRE"
"VERDELÂNDIA","MINAS GERAIS"
"VEREDINHA","MINAS GERAIS"
"VERÍSSIMO","MINAS GERAIS"
"VERMELHO NOVO","MINAS GERAIS"
"VESPASIANO","MINAS GERAIS"
"VIÇOSA","MINAS GERAIS"
"VIEIRAS","MINAS GERAIS"
"VIRGEM DA LAPA","MINAS GERAIS"
"VIRGÍNIA","MINAS GERAIS"
"VIRGINÓPOLIS","MINAS GERAIS"
"VIRGOLÂNDIA","MINAS GERAIS"
"VISCONDE DO RIO BRANCO","MINAS GERAIS"
"VOLTA GRANDE","MINAS GERAIS"
"WENCESLAU BRAZ","MINAS GERAIS"
"ÁGUA CLARA","MATO GROSSO DO SUL"
"ALCINÓPOLIS","MATO GROSSO DO SUL"
"AMAMBAÍ","MATO GROSSO DO SUL"
"ANASTÁCIO","MATO GROSSO DO SUL"
"ANAURILÂNDIA","MATO GROSSO DO SUL"
"ANGÉLICA","MATO GROSSO DO SUL"
"ANTÔNIO JOÃO","MATO GROSSO DO SUL"
"APARECIDA DO TABOADO","MATO GROSSO DO SUL"
"AQUIDAUANA","MATO GROSSO DO SUL"
"ARAL MOREIRA","MATO GROSSO DO SUL"
"BANDEIRANTES","MATO GROSSO DO SUL"
"BATAGUASSU","MATO GROSSO DO SUL"
"BATAYPORÃ","MATO GROSSO DO SUL"
"BELA VISTA","MATO GROSSO DO SUL"
"BONITO","MATO GROSSO DO SUL"
"BRASILÂNDIA","MATO GROSSO DO SUL"
"CAARAPÓ","MATO GROSSO DO SUL"
"CAMAPUÃ","MATO GROSSO DO SUL"
"CAMPO GRANDE","MATO GROSSO DO SUL"
"CARACOL","MATO GROSSO DO SUL"
"CASSILÂNDIA","MATO GROSSO DO SUL"
"CHAPADÃO DO SUL","MATO GROSSO DO SUL"
"CORGUINHO","MATO GROSSO DO SUL"
"CORONEL SAPUCAIA","MATO GROSSO DO SUL"
"CORUMBÁ","MATO GROSSO DO SUL"
"COSTA RICA","MATO GROSSO DO SUL"
"COXIM","MATO GROSSO DO SUL"
"DEODÁPOLIS","MATO GROSSO DO SUL"
"DOIS IRMÃOS DO BURITI","MATO GROSSO DO SUL"
"DOURADINA","MATO GROSSO DO SUL"
"DOURADOS","MATO GROSSO DO SUL"
"ELDORADO","MATO GROSSO DO SUL"
"FÁTIMA DO SUL","MATO GROSSO DO SUL"
"FIGUEIRÃO","MATO GROSSO DO SUL"
"GLÓRIA DE DOURADOS","MATO GROSSO DO SUL"
"GUIA LOPES DA LAGUNA","MATO GROSSO DO SUL"
"IGUATEMI","MATO GROSSO DO SUL"
"INOCÊNCIA","MATO GROSSO DO SUL"
"ITAPORÃ","MATO GROSSO DO SUL"
"ITAQUIRAÍ","MATO GROSSO DO SUL"
"IVINHEMA","MATO GROSSO DO SUL"
"JAPORÃ","MATO GROSSO DO SUL"
"JARAGUARI","MATO GROSSO DO SUL"
"JARDIM","MATO GROSSO DO SUL"
"JATEÍ","MATO GROSSO DO SUL"
"JUTÍ","MATO GROSSO DO SUL"
"LADÁRIO","MATO GROSSO DO SUL"
"LAGUNA CARAPÃ","MATO GROSSO DO SUL"
"MARACAJU","MATO GROSSO DO SUL"
"MIRANDA","MATO GROSSO DO SUL"
"MUNDO NOVO","MATO GROSSO DO SUL"
"NAVIRAÍ","MATO GROSSO DO SUL"
"NIOAQUE","MATO GROSSO DO SUL"
"NOVA ALVORADA DO SUL","MATO GROSSO DO SUL"
"NOVA ANDRADINA","MATO GROSSO DO SUL"
"NOVO HORIZONTE DO SUL","MATO GROSSO DO SUL"
"PARANAÍBA","MATO GROSSO DO SUL"
"PARANHOS","MATO GROSSO DO SUL"
"PEDRO GOMES","MATO GROSSO DO SUL"
"PONTA PORÃ","MATO GROSSO DO SUL"
"PORTO MURTINHO","MATO GROSSO DO SUL"
"RIBAS DO RIO PARDO","MATO GROSSO DO SUL"
"RIO BRILHANTE","MATO GROSSO DO SUL"
"RIO NEGRO","MATO GROSSO DO SUL"
"RIO VERDE DE MATO GROSSO","MATO GROSSO DO SUL"
"ROCHEDO","MATO GROSSO DO SUL"
"SANTA RITA DO PARDO","MATO GROSSO DO SUL"
"SÃO GABRIEL DO OESTE","MATO GROSSO DO SUL"
"SELVÍRIA","MATO GROSSO DO SUL"
"SETE QUEDAS","MATO GROSSO DO SUL"
"SIDROLÂNDIA","MATO GROSSO DO SUL"
"SONORA","MATO GROSSO DO SUL"
"TACURU","MATO GROSSO DO SUL"
"TAQUARUSSU","MATO GROSSO DO SUL"
"TERENOS","MATO GROSSO DO SUL"
"TRÊS LAGOAS","MATO GROSSO DO SUL"
"VICENTINA","MATO GROSSO DO SUL"
"ACORIZAL","MATO GROSSO"
"ÁGUA BOA","MATO GROSSO"
"ALTA FLORESTA","MATO GROSSO"
"ALTO ARAGUAIA","MATO GROSSO"
"ALTO BOA VISTA","MATO GROSSO"
"ALTO GARÇAS","MATO GROSSO"
"ALTO PARAGUAI","MATO GROSSO"
"ALTO TAQUARI","MATO GROSSO"
"APIACÁS","MATO GROSSO"
"ARAGUAIANA","MATO GROSSO"
"ARAGUAINHA","MATO GROSSO"
"ARAPUTANGA","MATO GROSSO"
"ARENÁPOLIS","MATO GROSSO"
"ARIPUANÃ","MATO GROSSO"
"BARRA DO BUGRES","MATO GROSSO"
"BARRA DO GARÇAS","MATO GROSSO"
"BOM JESUS DO ARAGUAIA","MATO GROSSO"
"BRASNORTE","MATO GROSSO"
"CÁCERES","MATO GROSSO"
"CAMPINÁPOLIS","MATO GROSSO"
"CAMPO NOVO DO PARECIS","MATO GROSSO"
"CAMPO VERDE","MATO GROSSO"
"CAMPOS DE JÚLIO","MATO GROSSO"
"CANABRAVA DO NORTE","MATO GROSSO"
"CANARANA","MATO GROSSO"
"CARLINDA","MATO GROSSO"
"CASTANHEIRA","MATO GROSSO"
"CHAPADA DOS GUIMARÃES","MATO GROSSO"
"CLÁUDIA","MATO GROSSO"
"COCALINHO","MATO GROSSO"
"COLÍDER","MATO GROSSO"
"COLNIZA","MATO GROSSO"
"COMODORO","MATO GROSSO"
"CONFRESA","MATO GROSSO"
"CONQUISTA D'OESTE","MATO GROSSO"
"COTRIGUAÇU","MATO GROSSO"
"CUIABÁ","MATO GROSSO"
"CURVELÂNDIA","MATO GROSSO"
"DENISE","MATO GROSSO"
"DIAMANTINO","MATO GROSSO"
"DOM AQUINO","MATO GROSSO"
"FELIZ NATAL","MATO GROSSO"
"FIGUEIRÓPOLIS D'OESTE","MATO GROSSO"
"GAÚCHA DO NORTE","MATO GROSSO"
"GENERAL CARNEIRO","MATO GROSSO"
"GLÓRIA D'OESTE","MATO GROSSO"
"GUARANTÃ DO NORTE","MATO GROSSO"
"GUIRATINGA","MATO GROSSO"
"INDIAVAÍ","MATO GROSSO"
"IPIRANGA DO NORTE","MATO GROSSO"
"ITANHANGÁ","MATO GROSSO"
"ITAÚBA","MATO GROSSO"
"ITIQUIRA","MATO GROSSO"
"JACIARA","MATO GROSSO"
"JANGADA","MATO GROSSO"
"JAURU","MATO GROSSO"
"JUARA","MATO GROSSO"
"JUÍNA","MATO GROSSO"
"JURUENA","MATO GROSSO"
"JUSCIMEIRA","MATO GROSSO"
"LAMBARI D'OESTE","MATO GROSSO"
"LUCAS DO RIO VERDE","MATO GROSSO"
"LUCIARA","MATO GROSSO"
"MARCELÂNDIA","MATO GROSSO"
"MATUPÁ","MATO GROSSO"
"MIRASSOL D'OESTE","MATO GROSSO"
"NOBRES","MATO GROSSO"
"NORTELÂNDIA","MATO GROSSO"
"NOSSA SENHORA DO LIVRAMENTO","MATO GROSSO"
"NOVA BANDEIRANTES","MATO GROSSO"
"NOVA BRASILÂNDIA","MATO GROSSO"
"NOVA CANAÃ DO NORTE","MATO GROSSO"
"NOVA GUARITA","MATO GROSSO"
"NOVA LACERDA","MATO GROSSO"
"NOVA MARILÂNDIA","MATO GROSSO"
"NOVA MARINGÁ","MATO GROSSO"
"NOVA MONTE VERDE","MATO GROSSO"
"NOVA MUTUM","MATO GROSSO"
"NOVA NAZARÉ","MATO GROSSO"
"NOVA OLÍMPIA","MATO GROSSO"
"NOVA SANTA HELENA","MATO GROSSO"
"NOVA UBIRATÃ","MATO GROSSO"
"NOVA XAVANTINA","MATO GROSSO"
"NOVO HORIZONTE DO NORTE","MATO GROSSO"
"NOVO MUNDO","MATO GROSSO"
"NOVO SANTO ANTÔNIO","MATO GROSSO"
"NOVO SÃO JOAQUIM","MATO GROSSO"
"PARANAITÁ","MATO GROSSO"
"PARANATINGA","MATO GROSSO"
"PEDRA PRETA","MATO GROSSO"
"PEIXOTO DE AZEVEDO","MATO GROSSO"
"PLANALTO DA SERRA","MATO GROSSO"
"POCONÉ","MATO GROSSO"
"PONTAL DO ARAGUAIA","MATO GROSSO"
"PONTE BRANCA","MATO GROSSO"
"PONTES E LACERDA","MATO GROSSO"
"PORTO ALEGRE DO NORTE","MATO GROSSO"
"PORTO DOS GAÚCHOS","MATO GROSSO"
"PORTO ESPERIDIÃO","MATO GROSSO"
"PORTO ESTRELA","MATO GROSSO"
"POXORÉU","MATO GROSSO"
"PRIMAVERA DO LESTE","MATO GROSSO"
"QUERÊNCIA","MATO GROSSO"
"RESERVA DO CABAÇAL","MATO GROSSO"
"RIBEIRÃO CASCALHEIRA","MATO GROSSO"
"RIBEIRÃOZINHO","MATO GROSSO"
"RIO BRANCO","MATO GROSSO"
"RONDOLÂNDIA","MATO GROSSO"
"RONDONÓPOLIS","MATO GROSSO"
"ROSÁRIO OESTE","MATO GROSSO"
"SALTO DO CÉU","MATO GROSSO"
"SANTA CARMEM","MATO GROSSO"
"SANTA CRUZ DO XINGU","MATO GROSSO"
"SANTO ANTÔNIO DO LESTE","MATO GROSSO"
"SANTO ANTÔNIO DO LEVERGER","MATO GROSSO"
"SÃO FÉLIX DO ARAGUAIA","MATO GROSSO"
"SÃO JOSÉ DO POVO","MATO GROSSO"
"SÃO JOSÉ DO RIO CLARO","MATO GROSSO"
